unit,unit_name,unit_description,notes,contributor_id,date_created,date_updated,unit_id
g,gram,NULL,"1 x 10^0 g",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",1
kg,kilogram,NULL,"1 x 10^3 g",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",2
Mg,megagram,NULL,"1 x 10^6 g",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",3
Gg,gigagram,NULL,"1 x 10^9 g",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",4
Tg,teragram,NULL,"1 x 10^12 g",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",5
Pg,petagram,NULL,"1 x 10^15 g",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",6
mol,mole,NULL,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",7
kmol,kilomole,NULL,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",8
Mmol,megamole,NULL,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",9
Gmol,gigamole,NULL,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",10
Tmol,teramole,NULL,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",11
Pmol,petamole,NULL,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",12
%,percent,NULL,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",13
Bq,becquerel,NULL,s^-1,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",14
kBq,kilobecquerel,NULL,"1x10^3 s^-1",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",15
MBq,megabecquerel,NULL,"1x10^6 s^-1",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",16
GBq,gigabecquerel,NULL,"1x10^9 s^-1",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",17
TBq,terabecquerel,NULL,"1x10^12 s^-1",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",18
PBq,petabecquerel,NULL,"1x10^15 s^-1",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",19
none,"mass fraction",mass/mass,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",20
none,"mol fraction",mol/mol,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",21
none,"volume fraction",vol/vol,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",22
Eg,exagram,NULL,"1 x 10^18 g",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",23
