substance,subsystem acronym,subsystem name,subsystem,process name,process
3,PEM,aggregate production of engineering materials,1,production of engineering materials,1
3,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
3,USE,aggregate use,3,use,1
3,USE,use,3;1,wood preservatives,1
3,USE,use,3;1,electronics,2
3,USE,use,3;1,alloys,3
3,WMR,aggregate waste management,4,waste management,1
3,ENV,aggregate environment,5,environment,1
3,ENV,environment,5;1,tailings,1
3,ENV,environment,5;1,slag,2
3,ENV,environment,5;1,sludge slimes,3
3,ENV,environment,5;1,leachate,4
3,ENV,environment,5;1,landfill,5
3,ENV,environment,5;1,lithosphere economic resources,6
3,ENV,environment,5;1,ashes particulates,7
3,ENV,environment,5;1,hazardous waste,8
3,ENV,environment,5;1,dissipation,9
3,ENV,environment,5;1,earth orbit,10
3,ENV,environment,5;1,moon,11
3,ENV,environment,5;1,atmosphere,12
3,ENV,environment,5;1,fossil fuel resources,13
3,ENV,environment,5;1,agricultural biomass,14
3,ENV,environment,5;1,terrestrial biomass,15
3,ENV,environment,5;1,soil,16
3,ENV,environment,5;1,continental regolith,17
3,ENV,environment,5;1,freshwater,18
3,ENV,environment,5;1,oceans,19
3,ENV,environment,5;1,ocean biomass,20
3,ENV,environment,5;1,mantle,21
3,ENV,environment,5;1,core,22
3,ENV,environment,5;1,oceanic regolith,23
3,ENV,environment,5;1,consolidated crust,24
3,ENV,environment,5;1,universe non earth planetary bodies,25
3,ENV,dissipation,5;1;9,land,1
3,ENV,dissipation,5;1;9,water bodies,2
3,ENV,dissipation,5;1;9,air,3
3,ENV,oceanic regolith,5;1;23,continental margin regolith,1
3,ENV,oceanic regolith,5;1;23,seafloor regolith,2
3,ENV,consolidated crust,5;1;24,upper continental crust,1
3,ENV,consolidated crust,5;1;24,middle continental crust,2
3,ENV,consolidated crust,5;1;24,lower continental crust,3
3,ENV,consolidated crust,5;1;24,oceanic crust,4
